,index,caption
82,187,"A bright, elongated source is slightly left of center, exhibiting diffuse extensions originating from its core and extending outwards. A separate, compact bright source is located in the bottom right. The compact source is not associated with the central elongated morphology."
83,188,"A central point source is flanked by two bright, diffuse flux centroids to its left and right. These extended structures appear to originate from the central source, forming symmetric lobes that terminate in the respective centroids. No unassociated sources are visible."
84,189,"The image displays two bright, unresolved flux centroids slightly below the center, appearing as a single elongated structure. A fainter, point-like source is located in the upper-center. No distinct lobes or jets are observed originating from the centroids. The fainter upper source appears unassociated with the central bright feature."
85,190,"Two bright, elongated flux centroids appear centrally located, slightly left and right. They are connected by fainter emission, forming a compact, horizontal double-lobed structure originating from the central region and extending outwards. No other distinct sources are present."
86,191,"The image displays two bright, elongated flux centroids in the central region, located left and right of the center. These distinct features appear as extended lobes. A fainter, diffuse emission connects the two centroids, originating from an unresolved region between them. No other significant sources are observed in the field."
87,192,"A very bright, compact flux centroid is located in the lower-right. Two fainter, diffuse centroids are present: one in the lower-center-left, and another directly above it, slightly more central. These two appear as extended emission or lobes. No clear jets are visible. The lower-right source is unassociated with the central emission."
88,193,"A bright, vertically elongated flux centroid is prominently located at the image center. This single source appears slightly resolved, with two concentrated peaks of emission. No distinct lobes or jets are observed originating from it, nor are any other sources present in the field."
89,194,"Two bright, diffuse flux centroids are located to the left and right of the image center. Fainter, elongated emission connects these centroids to a central region, suggesting jets originating from the center and expanding into the broader, brighter lobes. No other significant sources are apparent."
90,195,"Two bright, resolved flux centroids dominate the image center. One is positioned slightly left of center, the other immediately to its right. No distinct lobes or collimated jets are observed originating from or ending at these centroids. Scattered faint point sources are present, unrelated to the central bright features."
91,196,"Two bright, unresolved flux centroids are centrally located, slightly offset horizontally. No clear lobes or jets are visibly associated with these centroids, nor do they extend from or end at them. No other distinct sources are apparent in the image that are not associated with the central emission."
92,197,"Two bright, slightly extended flux centroids are centrally located, horizontally aligned, with one left and one right of center. No clear central source or distinct jets/lobes are observed originating from or ending elsewhere. No other sources are present."
93,198,"Two bright, slightly elongated flux centroids are centrally located, appearing as a close pair aligned roughly horizontally. No distinct, extended lobes or jets are observed originating from these centroids. No other sources are visible within the field of view."
94,199,"A compact, bright, double-peaked flux centroid is centrally located. The brighter peak is slightly top-right of a fainter, more diffuse peak. No distinct lobes, jets, or other sources are evident in the image."
95,200,"A bright, irregularly shaped, extended flux centroid occupies the image center, with its brightest part slightly left of center. No clear lobes or jets emanate from it. Several much fainter, point-like sources are visible across the field, unassociated with the central emission."
96,201,"Two closely spaced, bright flux centroids are observed near the image center, diagonally aligned. The emission appears slightly extended, but lacks distinct large-scale lobes or jets originating from these centroids. No other unassociated sources are evident in the field."
97,202,"Multiple bright flux centroids appear clustered slightly left of center, with two possibly blended. Another component is above and right, and a fainter one is to the far right. No distinct large-scale lobes or collimated jets are evident. Several very faint, unresolved point sources are scattered throughout."
98,203,"Two prominent, bright flux centroids are centered, closely spaced. No associated lobes or jets are evident from these sources. A fainter, diffuse, clumpy source is visible in the lower right quadrant, appearing unassociated with the central emission."
99,204,"Two prominent, clumpy flux centroids are visible, one left of center, the other right of center. No clear jets originate from a distinct central source. The centroids themselves appear as diffuse, irregular lobes of emission. Several faint, point-like sources are scattered across the field, unrelated to the main features."
100,205,"Two bright flux centroids dominate the image center. The upper centroid is vertically elongated. The lower centroid is compact, slightly left of center. No distinct jets or connecting structures are apparent. A very faint, diffuse source is present in the lower-left quadrant."
101,206,"A bright, elongated flux centroid with a central core and two diffuse, horizontal lobes dominates the image, slightly right of center. The right lobe is brighter and more compact. Several very faint, unassociated diffuse sources are scattered across the field."
102,207,"A bright, elongated source is centered, containing two distinct flux centroids: one top-left-center, one bottom-right-center. A faint, diffuse lobe-like structure connects and extends diagonally from these centroids. No other sources are present in the image."
103,208,"A bright, elongated structure is centered in the image. It comprises two primary flux centroids, one slightly top-right and one slightly bottom-left of the absolute center. These centroids are connected by a diffuse, linear emission, suggesting an origin between them and extending outwards. No other sources are present."
104,209,"A central, vertically elongated source dominates the image. It comprises two bright flux centroids: an upper, slightly brighter one, and a lower one. No extended lobes or distinct jets are observed originating from these centroids. No other sources are apparent in the field of view."
105,210,"A bright, centrally located source exhibits two primary flux centroids, closely spaced and forming a compact, slightly elongated structure. No clear extended lobes or distinct jets are evident originating from these centroids. No other significant sources are observed within the field."
106,211,"A bright, compact flux centroid dominates the image, slightly left of center. Diffuse, clumpy lobes originate from this central emission, extending prominently to the left and right, fading into the background. No distinct jets are observed. No other unassociated sources are evident within the field."
107,212,Two bright centroids of radio flux are observed near the image center. The left centroid is part of an elongated lobe extending left-downwards. The right centroid is part of an elongated lobe extending right-upwards. No clear jets are visible. No other significant sources are apparent within the field.
108,213,"The image displays two prominent flux centroids: one in the upper-central region and another in the lower-central region. Faint, diffuse emission appears to connect these centroids. The lower centroid exhibits slightly extended morphology, possibly indicative of a lobe. Several faint, compact sources are scattered across the field, unassociated with the main structure."
109,214,"A very bright, compact flux centroid is at the image center. Diffuse, irregular lobes extend horizontally from this central source, stretching to the left and right. No other distinct sources are present."
110,215,"A bright, compact central source is flanked by two extended, asymmetric lobes of radio emission. Faint linear structures connect the central source to the lobes, which extend significantly to the left and right. The left lobe appears brighter. No other sources are observed."
111,216,"A bright, centrally located flux centroid is observed. It displays a horizontally extended morphology, possibly with two slightly brighter peaks within a diffuse central region. No distinct lobes or collimated jets are apparent, nor are there any other discernible sources in the field."
112,217,"Two bright flux centroids define the ends of extended, symmetric lobes originating from a faint central source. One centroid is in the top-left, the other in the bottom-right, connected by diffuse emission. No other distinct sources are visible in the image."
113,218,"A central source displays two bright centroids, located top-left and bottom-right of the image center. Each centroid is embedded within a diffuse, elongated lobe, extending outwards along a diagonal axis from a connecting, fainter emission. These lobes appear to originate from the central region and fade outwards. No other distinct sources are present."
114,219,"A very bright, compact flux centroid is located slightly left-of-center. A prominent, collimated jet extends from it upward-left, terminating in a diffuse lobe. Diffuse emission also extends downward-right. A faint, compact point source is present at the top-center, unassociated with the main structure."
115,220,"A single, bright, compact centroid of flux is prominently located at the image center. No other distinct sources, extended lobes, or collimated jets are observed anywhere within this field of view."
116,221,"A prominent, curved arc of flux dominates the upper-center, originating from a brighter region at its upper-left and extending downwards, curving towards the lower-right. A distinct, compact bright source is observed in the lower-right quadrant, unassociated with the arc. No clear jets are apparent in the image."
117,222,"A compact, bright flux centroid is at the center. It emits two elongated structures, appearing as jets, extending to diffuse lobes. One jet-lobe system is in the lower-left, the other in the upper-right. A faint, unresolved source is visible in the upper-left quadrant, unassociated with the main emission."
118,223,"A bright centroid is prominent in the left-center, embedded within diffuse emission. A broad, curved lobe originates from this region, extending rightward and gradually dissipating towards the right-center. Faint, patchy diffuse emission is also visible in the far right, unassociated with the main structure."
119,224,"The image displays a complex, extended source in the center. Multiple bright flux centroids are clustered slightly left of center. Fainter, diffuse emission forms a curved structure, resembling bent lobes, extending roughly northwest and southeast from these centroids. No unassociated sources are visible."
120,225,"A central, complex source displays two bright centroids of flux, slightly left and right of the image center. These are embedded in a diffuse, S-shaped structure that originates from the centroids, extending outwards before fading into the background. No other distinct sources are observed."
121,226,"Two prominent flux centroids are located symmetrically left and right of the image center. Each centroid is associated with extended, diffuse lobes. A faint, linear bridge-like structure connects these centroids, suggesting a central origin. Several faint, unassociated point sources are sparsely distributed."
122,227,"A bright, diffuse flux centroid dominates slightly below center. Complex, extended emission, resembling a plume, originates from this centroid, stretching upwards and right. A distinct, faint, compact source is also visible near the top-center, separate from the main extended structure."
123,228,"A prominent, elongated structure dominates the image center, showing two bright flux centroids aligned vertically. This linear feature extends outward from its brighter central region. Diffuse emission patches are observed in the upper-right and fragmented sources in the lower-left, appearing unassociated with the central feature."
124,229,"The image displays a bright central flux centroid with two prominent, extended lobes of emission located to its left and right. Fainter, elongated structures connect the central source to each lobe, originating from the center and terminating at the bright centroids. No other sources are apparent."
125,230,"A bright flux centroid is located slightly below-left of center. A distinct, linear, diffuse jet-like structure originates from this centroid, extending towards the upper-right and fading. No other significant sources are apparent in the field."
126,231,"A bright, elongated flux centroid is centered slightly above the image center, oriented roughly top-left to bottom-right. It shows irregular extensions but no distinct lobes or jets. Several much fainter, point-like sources are scattered throughout the field, unassociated with the main object."
127,232,"A bright central flux centroid shows an elongated, curved lobe extending upwards and right, terminating in a diffuse, brighter region. A smaller, less distinct lobe extends downwards and left from the central emission. Several faint, point-like sources are scattered throughout the field, unassociated with the main structure."
128,233,"A bright, slightly elongated flux centroid dominates the image center. Diffuse, faint emission extends from this core towards the bottom-right, gradually fading. No distinct lobes, collimated jets, or unassociated sources are evident within the field."
,234,"A dominant, compact flux centroid is located slightly above image center. A fainter, diffuse, extended lobe-like structure originates below this centroid, extending downwards. No distinct jets are visible. No other unassociated point sources are observed within the field."
129,235,"A central, elongated emission region is observed. Two distinct, bright flux centroids are located to the upper-left and lower-right. These centroids are connected to the central region by extended, diffuse structures resembling lobes, originating from the center and ending at the bright centroids. No other significant sources are present."
130,236,"A central, dumbbell-shaped source shows two bright flux centroids slightly left of center, connected by fainter emission. These appear as two lobes originating from a central region. A distinct, compact, bright point source is located to the right of the main structure. No clear jets are visible."
131,237,"A bright, elongated flux centroid is slightly left of center, emitting a distinct jet that extends rightward into a diffuse patch. A larger, diffuse flux centroid is located below and to the left. All observed emission appears connected; no other sources are visible."
132,238,"A bright flux centroid is centrally located, slightly right. A distinct, linear feature extends from it towards the upper-left. A fainter, diffuse elongated feature extends towards the lower-right. No other distinct sources are apparent within the field."
133,239,"A single bright, centrally located centroid of flux is observed. It appears horizontally elongated, extending slightly to the left and right from its core. There are no distinct, well-separated lobes or collimated jets, nor any sources unassociated with the central emission."
134,240,"A bright, elongated flux centroid is centrally located, slightly left-of-center. No clear lobes or jets are directly associated with it. A separate, compact bright source is present in the upper-right. Several faint, scattered point-like sources are also observed across the field, unassociated with the central emission."
135,241,"A bright flux centroid is prominent in the lower-center, featuring diffuse, irregular emission forming an asymmetric lobe extending upward and right, plus faint extensions to the left. A distinct, compact source is located above and right, unassociated with the central emission. Several other faint point sources are visible in the field."
136,242,"A bright centroid of flux is in the left-center. A diffuse, elongated feature extends from this central region towards the bottom-right, exhibiting segmentations resembling a jet or plume. Its emission fades towards its end. Multiple faint, unassociated point sources are scattered throughout the field."
137,243,"Two main bright flux centroids are present: an elongated source slightly left of center and a diffuse complex right of center. The diffuse complex appears to be a lobe originating from the central region, extending to the right. Many faint point sources are scattered across the field, unassociated with the central emission."
138,244,"A bright, compact flux centroid resides slightly below image center. A curved, asymmetric lobe/jet originates here, extending upwards and to the left. No clear opposing lobe is observed. Two fainter, diffuse sources are present in the upper-central region, spatially distinct from the primary emission."
139,245,"A central, complex, diffuse flux centroid is present, with faint, irregular emission extending slightly to its right. A distinct, bright point source is located in the upper right quadrant. Several much fainter, isolated point sources are also scattered across the field, unassociated with the central emission."
140,246,"Two bright flux centroids dominate, one upper-left and one lower-right. Two elongated, jet-like structures originate from a fainter central region between them, extending outwards past the centroids. Several very faint, point-like sources are scattered throughout the field, unassociated with the main structure."
141,247,"A bright, extended source slightly right of center exhibits two faint, elongated lobes originating from it, extending diagonally top-left and bottom-right. A distinct, bright point source is observed on the far left, unassociated with the central emission."
142,248,"A bright central flux centroid is observed. Extended, diffuse lobes originate from the center. One lobe extends to the top-left, terminating in a bright hot-spot. The other extends to the bottom-right, also ending in a bright hot-spot. No other discrete sources are seen."
143,249,"A single, bright, elongated centroid of flux is centered in the image, oriented diagonally from top-right to bottom-left. No associated lobes or jets are observed, nor are there any other distinct sources within the field of view."
144,250,"Two bright flux centroids are centrally located. From each, a diffuse, arc-shaped lobe extends outwards, mirroring each other. The left lobe originates from the left centroid, the right from the right. Several faint, unassociated point sources dot the background."
145,251,"A bright, elongated flux centroid is centrally located, extending diagonally from top-left to bottom-right. This main structure is somewhat jet-like or a compact lobe, brightest at its core. Several faint, discrete point sources are visible, unassociated with the central emission."
146,252,"A diffuse, crescent-shaped flux centroid is observed slightly left of center. Two distinct, bright point sources are present: one top-center and another bottom-right. No clear lobes or jets originate from or terminate at these point sources. The crescent-shaped feature appears as a distinct, diffuse source, not clearly associated with the point sources."
147,253,"A central, diffuse radio source is observed with a bright, compact flux centroid to its right. A diffuse, bent lobe extends from the central region towards the top-left. No other distinct, unassociated sources are present in the field of view."
148,254,"A bright, complex flux centroid with diffuse extensions is located slightly right of center. Multiple distinct, compact flux centroids are observed on the left side, including a very bright one top-left and another mid-left. Several fainter, possibly extended sources are clustered bottom-left. No clear, collimated jets or large-scale lobes are apparent from any centroid."
149,255,"A dominant, bright, elongated flux centroid is located slightly above the image center, displaying a spindle-shaped morphology. No distinct lobes or jets are observed originating or ending from this central feature. No other significant bright centroids are apparent within the field of view."
150,256,"A bright, double-peaked flux centroid is slightly left of center. An elongated, fainter lobe/jet originates from this central region, extending to the right and gradually fading towards the image edge. No other distinct sources are apparent."
151,257,"Two bright, elongated, and curved flux centroids are observed. One is in the mid-left, appearing as a diffuse, S-shaped lobe. The other, in the mid-right, shows a very bright core-like centroid with a curved, hook-shaped lobe extending from it. No central galaxy is visible between or within these features."
152,258,"A prominent, compact source at the image center exhibits two bright flux centroids, aligned horizontally. Diffuse emission surrounds and bridges these centroids, forming a single, slightly extended structure. No distinct lobes or collimated jets are observed extending from this source. No other sources are visible."
153,259,"Two prominent flux centroids are present. The upper-right centroid is the termination of a diffuse, elongated lobe originating from a fainter, central region. A compact, elongated lobe-like structure with its brightest centroid is in the lower-central area, pointing upwards. A compact point source is in the upper-left corner."
154,260,"A bright, diffuse, elongated source occupies the image center. A primary flux centroid is at its core. Fainter, lobe-like extensions originate from this central region, extending roughly vertically, one upwards and one downwards. No other sources are visible."
155,261,"A bright, resolved flux centroid is centrally located. An elongated, asymmetric lobe/jet structure originates from this centroid, extending predominantly to the mid-right of the image and appearing to diffuse. No other significant sources are visible."
156,262,"A bright, slightly elongated flux centroid is centered in the image, appearing as two closely spaced components slightly left and right of the precise center. No distinct lobes or extended jets are observed originating from this central source. No other sources are present in the field."
157,263,"Two bright flux centroids are located left and right of the image center. Diffuse, lobe-like emission originates from a fainter central region, extending outwards horizontally to terminate at these bright centroids. No other distinct sources are observed in the field."
158,264,"Two bright flux centroids dominate the image center, one slightly left and one slightly right. A fainter, elongated source is further right. These resolved sources lack clear jets or extended lobes. A very faint, isolated point source is visible on the far left, unassociated with the central emission."
159,265,"Two bright centroids dominate, one left-center, one right-center. Faint, collimated structures (jets) originate from a central, fainter core, extending outward to terminate in these bright lobes. Several very faint, unassociated point sources are scattered across the background field."
160,266,"The image displays two prominent bright flux centroids: one slightly upper-left and another lower-right of the image center. These centroids are embedded within diffuse, extended emission forming two connected lobes, originating from a fainter central region and extending outwards. No other distinct, unassociated sources are observed."
161,267,"Two bright, closely spaced flux centroids are located slightly left of center, forming an elongated, bilobed structure. No clear jets are visible. A fainter, compact source is present in the bottom right corner, unassociated with the main central emission."
162,268,"Two prominent, bright flux centroids lie slightly right of center, horizontally aligned, and are linked by fainter, elongated diffuse emission. A separate, fainter, unresolved source is observed far to the left, unassociated with the central feature."
163,269,"The image displays a compact, vertically elongated central source complex. It features multiple bright centroids, including a primary one near the center and two fainter ones vertically aligned above and below it. No distinct lobes, jets, or unassociated sources are evident."
164,270,"Two bright, slightly resolved flux centroids are visible, positioned closely just left and right of the image center. No extended lobes or distinct jets are apparent emanating from these sources. There are no other sources present in the field of view."
165,271,"Two bright flux centroids are centrally located, oriented diagonally (top-left to bottom-right). They are connected by fainter, elongated emission, forming a bi-directional, twin-lobed structure originating from the central region and terminating at these centroids. No other distinct sources are present in the image."
166,272,"Two distinct, unresolved bright flux centroids are observed slightly below and to the right of the image center. No associated lobes or jets are detected. There are no other sources present in the image."
167,273,"A primary bright flux centroid is observed near the image center, with a closely associated, slightly dimmer extension or secondary centroid immediately to its lower-right. No distinct large-scale lobes or jets are observed, nor are there any other sources in the image."
168,274,"The image reveals a bright, compact central flux centroid. Two symmetric, diffuse lobes of flux extend horizontally, originating near the central source and radiating outwards to the left and right. Several faint, unassociated point sources are scattered across the background field."
169,275,"Two bright flux centroids are observed in the central region. The dominant centroid is in the bottom-center, with a second, slightly fainter one above and to its right. They are connected by diffuse emission, forming an extended double-lobed structure. The implied origin is between them, with lobes extending outward. No other distinct sources are present."
170,276,"A bright, elongated, and curved source dominates the image center. It features two prominent flux centroids, one slightly left and one slightly right. These are embedded within a continuous, arc-shaped emission, curving upwards and to the right. No distinct lobes or jets are observed. No other sources are present."
171,277,"The image shows an elongated, clumpy central flux structure in the middle-left, containing several bright centroids. No distinct lobes or jets are evident. A separate, bright, point-like source is located in the far right of the image, unassociated with the central structure."
172,278,"Two bright, blended flux centroids are centrally located, slightly left and right. The central emission appears somewhat extended horizontally. No distinct lobes or jets are observed. Several faint, unresolved point sources are scattered throughout the field, unassociated with the central bright region."
173,279,"A bright flux centroid is in the lower-center. An extended, clumpy lobe originates from it, stretching upwards and slightly left. A distinct, faint point source appears on the far right, unassociated with the central emission. Scattered faint sources are also present."
174,280,"Two bright, diffuse flux centroids are visible in the upper and lower central regions. They are connected by a faint, elongated structure originating centrally and extending outwards. Several faint, unassociated point sources are scattered throughout the field."
175,281,"A bright, extended, irregular flux centroid dominates the top-left. A second, fainter extended centroid is in the bottom-center. Several faint, point-like sources are scattered. No distinct jets or lobes are apparent. The bottom-center extended emission and point sources are unassociated with the prominent top-left complex."
176,282,"Two bright flux centroids are centrally located. The brighter, left centroid is slightly lower-left, while the right centroid is slightly upper-right, forming a compact, elongated, double-lobed structure. No clear jets are discernible, and no other sources are visible in the image."
177,283,"Two bright, slightly extended flux centroids are observed in the image center, appearing as a close double. One is slightly upper-left, the other lower-right. No distinct lobes or jets are visible originating from these sources. No other significant sources are present elsewhere in the image."
178,284,"Two bright, extended flux centroids are centrally located, horizontally aligned, with one slightly left and one slightly right. No distinct lobes or jets originating from a central point are visible; these centroids comprise the main emission. No other significant sources are apparent."
179,285,"Two bright, unresolved flux centroids are centrally located. No associated lobes or jets are observed originating or ending from these sources. No other distinct sources are apparent elsewhere in the image."
180,286,"Two bright, compact flux centroids are centrally located, slightly offset left and right. They appear closely-spaced, showing minor horizontal extension. No distinct lobes, jets, or other unassociated sources are evident in the field."
181,287,"A bright, elongated flux centroid dominates slightly left of center, extending horizontally. This main source *is* an extended structure, showing no distinct lobes or jets emanating from it. Several faint, unresolved point-like sources are scattered across the field, unassociated with the central emission."
182,288,"Two bright, compact flux centroids are centrally located, slightly horizontally offset. They form a single, slightly elongated structure. No distinct extended lobes or jets are observed originating from this central region. No other sources are visible within the image field."
183,289,"Two compact, bright flux centroids are observed at the image center, closely separated horizontally. No extended lobes, jets, or other sources are apparent in the field of view."
184,290,"Two bright flux centroids are observed: one on the far left, another on the far right. Extended, clumpy lobes originate from a fainter central region, extending outwards to terminate at these bright centroids. No other sources are present."
185,291,"A compact, bright, centrally located flux feature is observed, elongated horizontally. It appears to resolve into two very closely separated bright centroids. No distinct extended lobes or jets are visible originating from this central structure. There are no other independent sources in the field."
186,292,"A bright, diffuse flux centroid is present in the upper-right quadrant. Two fainter, compact flux centroids are closely co-located in the lower-central region. No distinct radio lobes or collimated jets are observed originating from any source. The bright upper-right source appears distinct from the lower-central pair."
187,293,"A bright, slightly elongated source dominates the image center. It features two closely-spaced flux centroids: one slightly top-left, the other bottom-right. These peaks form a compact, bimodal structure, connected by diffuse emission. No distinct lobes, jets, or other sources are evident."
188,294,"The image displays two distinct, unresolved centroids of bright flux located near the center, vertically separated. No associated extended emission, such as lobes or jets, is detected originating from these centroids. No other discrete sources are visible within the field of view."
189,295,"Two bright, elongated flux centroids are vertically aligned in the image center. The upper centroid shows an upward-extending lobe, while the lower centroid exhibits a downward-extending lobe. These lobes originate from their respective centroids and extend towards the top and bottom of the central region. No other distinct sources are present."
190,296,"A compact, bright flux centroid is at the image center. Two extended, bright lobes originate from this central source, extending symmetrically to the left and right. They are the primary features; no other distinct sources are present."
191,297,"A bright, compact flux centroid is near the image center. Two diffuse, extended lobes emanate from the central region, appearing to originate from the central source. One lobe extends toward the top-right, the other toward the bottom-left, both terminating diffusely. No distinct, unassociated bright sources are present."
192,298,"A bright, irregularly shaped flux centroid dominates the image center, exhibiting a slight horizontal extension. No clear lobes or distinct jets are evident originating from this central emission. A faint, compact point-like source is present below and to the right, appearing morphologically unassociated."
193,299,"A bright, compact centroid of flux is near the image center. Two diffuse, irregular lobes of flux originate from this central region. One is in the top-left, extending leftwards. The other is in the middle-right, extending rightwards. No distinct unassociated sources are evident."
194,300,"Two bright, extended flux centroids are centrally located, one top-left, one bottom-right. They are linked by fainter, diffuse emission originating between them and extending to each centroid, forming a bi-lobed structure. Several much fainter, point-like sources are scattered throughout the field, unassociated with the main structure."
195,301,"Two bright, compact flux centroids are located vertically near the image center. No distinct lobes or jets are observed originating from these. Several fainter, diffuse sources are present in the upper-left and lower-left quadrants, appearing unassociated with the central bright features."
196,302,"A bright, elongated, double-lobed radio source dominates the image center. Two prominent flux centroids are present, one to the lower-left and one to the upper-right. These centroids are connected by fainter emission, forming a structure originating centrally and extending outwards in opposite directions. No other significant sources are apparent within the field."
197,303,"Two bright, compact flux centroids are centrally located and horizontally aligned. The right centroid appears slightly brighter. No extended lobes or distinct jets are evident. No other significant sources are observed in the field."
198,304,"Two bright flux centroids are observed in the central-right field. The upper centroid, slightly right of center, displays a faint, short, elongated feature extending upwards. The lower centroid, below center-right, is compact and unresolved. No distinct lobes or well-defined jets are observed. No other emission sources are detected."
199,305,"A bright, elongated central source exhibits two unresolved centroids, one slightly upper-left and a brighter one lower-right. No distinct lobes or jets are apparent originating from this feature. A very faint, unassociated point source is visible in the bottom-left quadrant of the image."
200,306,"Two distinct, compact, bright flux centroids are observed near the image center, one slightly left and one slightly right. The right centroid appears marginally brighter. No extended lobes, jets, or other discrete sources are evident. No emission from a central galaxy is detected."
201,307,"Two bright centroids are observed slightly left of center, one elongated and one point-like. A large, diffuse, irregular flux region is present on the right side. No clear jets are apparent originating from any centroid. The diffuse region appears spatially distinct from the two left-of-center centroids."
202,308,"Two distinct, bright flux centroids are centrally located, slightly left and right of the exact center. No associated extended lobes or jets are observed originating from these centroids. No other sources are detected elsewhere in the field of view."
203,309,"A bright, elongated flux centroid is in the top-left. Two diffuse, clumpy flux centroids are below center, mid-left and mid-right. There are no clear lobes or jets originating from a single central source. All observed sources are distinct and do not appear associated with a central galaxy within this field."
204,310,"Two distinct, bright flux centroids are located slightly right of image center, horizontally separated and unresolved. No associated lobes or jets are observed originating from or ending at these sources. Several very faint, point-like background sources are present, unassociated with the main bright structures."
205,311,"Two prominent, bright flux centroids are centered, appearing as diffuse lobes. One centroid is slightly left, the other right, connected by fainter emission. These lobes originate centrally and extend outwards. No distinct jets are visible. Several very faint, unassociated point-like sources are scattered in the top-left and bottom-left regions."
206,312,"A prominent, bright centroid is located slightly above the image center. Below it, two fainter, diffuse flux centroids are symmetrically positioned to its left and right. These appear as extended structures, spatially associated with the central bright source. No other distinct sources are apparent."
207,313,"Two bright centroids of flux are present. A compact source is located in the bottom-left. In the upper-right, a brighter centroid shows associated diffuse emission extending around it, forming a single lobe-like structure. No distinct jets are visible. No other significant sources are apparent."
208,314,"A bright, compact flux centroid dominates the upper-left quadrant. A faint, linear jet extends from it upwards. A prominent, curved lobe also originates from this centroid, sweeping downwards and right, broadening before dissipating. No other distinct sources are present."
209,315,"A bright, elongated centroid of flux is slightly left of center. A prominent, diffuse plume extends from its core towards the upper-right. Fainter emission extends lower-left. Multiple faint, point sources are scattered throughout, with a chain towards the top-right, unassociated with the main feature."
210,316,"A single, bright, elongated flux centroid is present near the image center. It exhibits a slightly diffuse, elliptical morphology, oriented roughly horizontally. No distinct lobes, jets, or other sources are observed."
211,317,"A bright, elongated flux centroid is slightly left of center, oriented diagonally. It appears as a compact, single, jet-like structure, brightening towards its core. Several faint, diffuse sources are scattered in the top-left and bottom-right regions, unassociated with the primary emission."
212,318,"A bright, curved, elongated flux centroid is centered slightly top-right. No distinct narrow jets or well-defined lobes are observed originating from it. Several much fainter, diffuse, unassociated emission patches are present in the bottom-left quadrant."
213,319,"A bright, compact flux centroid is slightly right of center. An elongated structure, appearing like a jet, extends from it towards the lower-left, terminating at a second bright centroid. Several faint, diffuse point sources are unassociated with the central emission."
214,320,"A very bright centroid dominates slightly above the image center. Diffuse, extended emission, resembling an irregular lobe, originates from this centroid, extending primarily to its left and downwards. No distinct jets or other unassociated sources are evident."
215,321,"A bright, slightly elongated and curved flux centroid is located in the center-left. This primary emission shows an irregular, S-shaped extension originating from the bright centroid and extending towards the right. No distinct lobes or jets with clear origins/ends are observed. No other prominent sources are visible."
216,322,"A bright, resolved flux centroid is observed at the image center, horizontally elongated. This central emission shows two bright peaks, slightly left and right of the absolute center. Diffuse, symmetric emission extends outwards horizontally from this central region, fading into the background. No other distinct sources are apparent."
217,323,"A bright, complex flux centroid is centrally located, appearing to comprise multiple components. An extended, diffuse lobe-like structure originates from this central region, extending to the right before fading. No distinct unassociated sources are evident within the field of view."
218,324,"Two bright, compact flux centroids are located slightly right of center, connected by fainter emission forming an arcuate structure. This structure, resembling a bent jet or two lobes, originates between the centroids and extends horizontally. No other distinct sources are present."
219,325,"A bright, elongated flux centroid is centrally located, showing a diffuse, irregular morphology extended horizontally. No distinct lobes or jets are observed originating from this central structure. No other prominent sources are evident in the field."
220,326,"Two bright, elongated flux centroids are visible. One is in the upper-right-of-center, oriented horizontally. The second is below and left of center, oriented diagonally. No distinct lobes or jets originating from a single central point are apparent. There is no visible central galaxy in the image to associate these sources with."
221,327,"The image displays a bright, extended flux centroid in the center, exhibiting an irregular and clumpy morphology. Diffuse emission appears to extend slightly from this central region towards the top-right and bottom-left, but no distinct lobes or collimated jets are clearly defined. No other sources are visible elsewhere in the field."
222,328,"A bright, curved, extended flux structure dominates the image center, showing two prominent centroids: one slightly left, one slightly right. This structure appears as elongated emission, possibly lobes or jets, curving from a central region. Several faint, point-like sources are sparsely scattered, unassociated with the main structure."
223,329,"A prominent, S-shaped radio emission is centrally located. It exhibits two bright flux centroids within the S-curve: one in the upper-left and one in the lower-right of the structure's core. This complex, extended morphology suggests a distorted jet or lobe system originating centrally and twisting outwards. No other significant sources are evident."
224,330,"Two bright, compact flux centroids are centrally located, appearing closely blended with one slightly left and one slightly right. They form a single, compact core-like structure. No distinct extended lobes or collimated jets are observed. A few faint, point-like sources are scattered throughout the field, unassociated with the central emission."
225,331,"A bright, compact flux centroid is slightly left of center. Two diffuse, extended lobes originate from this central region. One extends to the right-center, and the other extends down-left. No distinct jets or unassociated sources are visible in the image."
226,332,"A prominent bright flux centroid is slightly below the image center. A long, linear, jet-like emission extends diagonally from this centroid towards the top-left and slightly to the bottom-right. This feature appears as a continuous stream of flux. No other distinct sources are apparent in the image."
227,333,"A bright, compact flux centroid is slightly above center. Faint, diffuse emission extends horizontally from it, but clear lobes or jets are indistinct. A fainter, compact source is present in the upper right, unassociated with the central emission. Other very faint point sources exist."
228,334,"A bright, elongated central flux centroid is visible. A prominent, curved lobe/jet structure originates from this centroid, extending to the bottom-right, ending in a diffuse lobe. A shorter, fainter jet extends leftwards from the centroid. A separate, faint point source is observed on the far right."
229,335,"A bright, complex radio source is centered. A luminous centroid at the lower-middle anchors a bright jet-like structure extending upwards, terminating in a diffuse lobe towards the top-right. A fainter, more diffuse lobe extends downwards-left. No other distinct sources are evident."
230,336,"A bright, elongated, curved radio source dominates the upper-center, with its brightest flux concentrated centrally. This continuous structure extends from the core towards the top-right and bottom-left, appearing bent. Several faint, unassociated point sources are sparsely distributed across the field, primarily in the lower half."
